customer_id,customer_name,city,signup_date,signup_channel,customer_segment
CUST_00001,Donald Walker,Dubai,2025-12-19,App,Premium
CUST_00002,Stephanie Miller,Abu Dhabi,2025-05-06,App,Regular
CUST_00003,Brandon Hall,Ajman,2025-04-14,App,Regular
CUST_00004,Michelle Miles,Dubai,2025-12-14,Call Center,Regular
CUST_00005,Kevin Pacheco,Dubai,2025-10-08,Web,Regular
CUST_00006,Caitlin Henderson,Dubai,2025-12-15,App,Regular
CUST_00007,Tyler Rogers,Dubai,2025-07-11,App,Regular
CUST_00008,Ian Cooper,Sharjah,2025-02-24,App,VIP
CUST_00009,Monica Herrera,Abu Dhabi,2025-11-07,Web,Regular
CUST_00010,Edward Fuller,Dxb,2025-04-03,Referral,Premium
CUST_00011,Michele Williams,Dubai,2025-02-26,App,Regular
CUST_00012,Victoria Wyatt,Sharjah,2025-09-25,App,VIP
CUST_00013,Jesse Flowers,Dubai,2025-12-30,Call Center,Regular
CUST_00014,Daniel Adams,Dubai,2025-09-21,App,VIP
CUST_00015,Carolyn Daniel,Sharjah,2025-06-15,App,VIP
CUST_00016,Devin Schaefer,Sharjah,2025-10-02,App,Regular
CUST_00017,Sarah Parsons,Dubai,2025-10-27,Call Center,Premium
CUST_00018,Renee Morales,Abu Dhabi,2025-10-11,App,Regular
CUST_00019,Tommy Walter,Abu Dhabi,2025-02-14,App,Regular
CUST_00020,Jonathan Wilkerson,Dxb,2025-01-13,Call Center,Regular
CUST_00021,Charles Mcgee,Dxb,2025-05-23,App,Premium
CUST_00022,Jessica Silva,sharjah,2025-09-22,Referral,Regular
CUST_00023,Zachary Hicks,Ajman,2025-07-24,Web,Regular
CUST_00024,Shannon Hernandez,Dubai,2025-03-07,App,Premium
CUST_00025,Jennifer Brown,Abu Dhabi,2025-02-08,Web,Regular
CUST_00026,Julie King,Sharjah,2025-09-18,Web,Regular
CUST_00027,Ashley Dyer,Dubai,2025-10-14,Web,Regular
CUST_00028,Gina Carter,Dubai,2025-07-02,App,Regular
CUST_00029,Troy Liu,Dubai,2025-04-10,Web,Regular
CUST_00030,Pamela Romero,Abu Dhabi,2025-05-27,Call Center,Regular
CUST_00031,Elizabeth Fowler,Dubai,2025-07-10,Web,Premium
CUST_00032,Phillip Ryan,Abu Dhabi,2025-03-07,Web,Premium
CUST_00033,Katherine Rodriguez,Sharjah,2025-02-17,Web,Premium
CUST_00034,Sandra Parker,Dubai,2025-12-18,App,VIP
CUST_00035,Keith Miller,Dubai,2025-10-14,Web,Premium
CUST_00036,Vanessa Patel,Ajman,2025-12-29,App,Regular
CUST_00037,John Pierce,Abu Dhabi,2025-08-17,App,Regular
CUST_00038,Lisa Brandt,Ajman,2025-06-13,Web,Premium
CUST_00039,Jennifer Powers,Dubai,2025-02-25,App,Regular
CUST_00040,Joseph Martinez,Sharjah,2025-04-15,App,Regular
CUST_00041,Alex Spencer,Abu Dhabi,2025-05-14,Web,Regular
CUST_00042,Michael Brown,Dubai,2025-05-10,App,Regular
CUST_00043,Shannon Jones,Ras Al Khaimah,2025-09-08,Web,Premium
CUST_00044,John Ryan,Dubai,2025-09-16,Call Center,Regular
CUST_00045,John Russell,Ras Al Khaimah,2025-09-01,Call Center,Regular
CUST_00046,Jeffrey Henderson,Abu Dhabi,2025-12-19,Call Center,Regular
CUST_00047,Amy Valdez,Dubai,2025-12-16,Web,Regular
CUST_00048,Nicholas Mcbride,Abu Dhabi,2025-11-08,Referral,Regular
CUST_00049,Connor West,Abu Dhabi,2025-12-30,App,Regular
CUST_00050,Joel Baxter,Dubai,2025-06-04,Web,Regular
CUST_00051,Scott Pierce,Dubai,2025-05-28,Call Center,Regular
CUST_00052,Kimberly Smith,abu dhabi,2025-01-06,Referral,VIP
CUST_00053,Sarah Martin,Abu Dhabi,2025-06-13,Web,Regular
CUST_00054,Dr. Steven Martin,Dubai,2025-11-04,Call Center,Premium
CUST_00055,Mrs. Rachel Gibson,Abu Dhabi,2025-06-14,Web,Regular
CUST_00056,Monica Logan,Dubai,2025-04-18,Web,Regular
CUST_00057,Edward Novak,Dubai,2025-04-13,Referral,Regular
CUST_00058,Amy Silva,Dubai,2025-07-17,Web,Regular
CUST_00059,Jordan York,Dubai,2025-06-14,App,Regular
CUST_00060,Megan Young,Dubai,2025-05-19,Web,Regular
CUST_00061,Laura Riley,Abu Dhabi,2025-01-26,App,VIP
CUST_00062,Jennifer Silva,Dubai,2025-09-25,Web,Premium
CUST_00063,Christina Moran,Abu Dhabi,2025-10-15,Web,Premium
CUST_00064,Carlos Brewer,Dubai,2025-11-04,App,Regular
CUST_00065,Paul Jones,Abu Dhabi,2025-01-21,Referral,Regular
CUST_00066,Kristine Garcia,Dubai,2025-01-10,App,Regular
CUST_00067,Brandi Bailey,Ajman,2025-11-02,Referral,VIP
CUST_00068,Jaclyn Moore,Ajman,2025-07-14,App,Regular
CUST_00069,Victoria Valdez,Dubai,2025-11-23,App,Regular
CUST_00070,Kristen Huynh,Ajman,2025-03-03,Referral,Regular
CUST_00071,Brandy Wilson,Dxb,2025-12-12,App,Regular
CUST_00072,Brittney Campbell,Dubai,2025-10-04,Call Center,Regular
CUST_00073,Christina Walters,Sharjah,2025-02-12,App,Premium
CUST_00074,Danielle Odonnell,Sharjah,2025-01-17,App,Regular
CUST_00075,Jeff Hill,Abu Dhabi,2025-01-24,Web,Premium
CUST_00076,Carlos Whitney,Sharjah,2025-05-27,App,Regular
CUST_00077,Kristen Patterson,Abu Dhabi,2025-12-12,App,Regular
CUST_00078,Tony Vazquez,Ras Al Khaimah,2025-06-03,Web,Regular
CUST_00079,Sandra Aguilar,Dubai,2025-11-26,App,Regular
CUST_00080,Andrew Diaz,Dubai,2025-09-25,Call Center,Regular
CUST_00081,Christine Wright,Abu Dhabi,2025-07-19,Call Center,Regular
CUST_00082,Justin Baxter,Abu Dhabi,2025-12-25,Web,Premium
CUST_00083,Cynthia Martin,Ras Al Khaimah,2025-05-08,Web,Regular
CUST_00084,Allison Doyle,Dubai,2025-10-06,Web,Regular
CUST_00085,Jennifer Santiago,Dubai,2025-05-01,App,Regular
CUST_00086,Richard Rodriguez,Sharjah,2025-05-13,App,Regular
CUST_00087,Courtney Velasquez,Dubai,2025-05-10,App,Regular
CUST_00088,Robert Savage,Ajman,2025-10-03,Web,Regular
CUST_00089,Corey Murphy,Abu Dhabi,2025-12-19,Web,Regular
CUST_00090,Diana May,Dubai,2025-03-31,App,Regular
CUST_00091,Sarah Rivera,Dubai,2025-04-08,Call Center,Premium
CUST_00092,Wesley White,Abu Dhabi,2025-08-10,Call Center,Premium
CUST_00093,Kyle Reed,Dubai,2025-09-15,Web,Regular
CUST_00094,William Wilson,Abu Dhabi,2025-11-25,Call Center,Regular
CUST_00095,Michael Smith,Dubai,2025-05-31,Web,Premium
CUST_00096,Benjamin Beck,Sharjah,2025-01-08,Web,VIP
CUST_00097,Mary Martinez,Ajman,2025-06-13,Referral,Regular
CUST_00098,Mary Nguyen,Dubai,2025-02-06,Web,Regular
CUST_00099,Cheryl Ortega,Ajman,2025-11-23,Call Center,Regular
CUST_00100,Stephanie Gilbert,Dubai,2025-10-16,App,Regular
CUST_00101,Roy Torres,Dubai,2025-09-03,Web,Regular
CUST_00102,Kevin Pena,Dubai,2025-04-04,App,Regular
CUST_00103,Michael Dixon,AD,2025-11-14,Web,Regular
CUST_00104,Diane Beck,Ajman,2025-08-09,Call Center,Regular
CUST_00105,Trevor Young,Dubai,2025-07-15,Web,Premium
CUST_00106,Curtis Johnson,Dubai,2025-04-10,App,VIP
CUST_00107,Miss Patricia Gibson,Ajman,2025-07-06,Call Center,Premium
CUST_00108,Janet Ross,Dubai,2025-10-04,Web,Regular
CUST_00109,Abigail Potter,Dubai,2025-07-10,App,Regular
CUST_00110,Colleen Brock,Ras Al Khaimah,2025-03-21,App,VIP
CUST_00111,David Charles,Sharjah,2025-02-25,Web,Regular
CUST_00112,John Schmidt,Abu Dhabi,2025-04-13,Web,Regular
CUST_00113,Stephanie Salazar,Dubai,2025-02-26,Call Center,Premium
CUST_00114,Kimberly Merritt,Dubai,2025-02-15,Referral,VIP
CUST_00115,Paul Larsen,Dubai,2025-06-16,Call Center,Regular
CUST_00116,Kelly Sims,Dubai,2025-03-21,Web,Premium
CUST_00117,Micheal Young,Ajman,2025-08-22,App,Premium
CUST_00118,Joshua Taylor,Dubai,2025-10-14,Web,Regular
CUST_00119,Christian Lewis,Dubai,2025-12-09,Web,Premium
CUST_00120,Joshua Perry,AJMAN,2025-05-29,Referral,VIP
CUST_00121,Jean Carrillo,Sharjah,2025-03-15,Web,Regular
CUST_00122,Pamela James,Dubai,2025-06-20,Web,VIP
CUST_00123,Elizabeth Price,Dubai,2025-06-26,App,Regular
CUST_00124,Morgan Marsh,DUBAI,2025-11-17,Call Center,Premium
CUST_00125,Don Tucker MD,Sharjah,2025-12-18,Referral,Regular
CUST_00126,Sara Calhoun,Dubai,2025-11-12,Web,Regular
CUST_00127,Leslie Alvarado,Sharjah,2025-06-26,Referral,Regular
CUST_00128,Brandy Murray,Ajman,2025-08-05,Referral,Regular
CUST_00129,Garrett Gibson,Abu Dhabi,2025-01-24,App,Regular
CUST_00130,Jamie Walton,Dubai,2025-05-27,Web,Regular
CUST_00131,Bradley Smith,Abu Dhabi,2025-05-28,Web,VIP
CUST_00132,Mrs. Marie Harrington DDS,Ras Al Khaimah,2025-10-03,Call Center,Regular
CUST_00133,Christina Smith,Abu Dhabi,2025-01-12,App,Regular
CUST_00134,John Wilson,Dubai,2025-11-16,Web,Regular
CUST_00135,David Wood,Ras Al Khaimah,2025-07-15,Web,Regular
CUST_00136,Carla Collins,Dubai,2025-08-04,Web,Regular
CUST_00137,Laura Odonnell,Dubai,2025-02-08,Call Center,VIP
CUST_00138,Miguel Jones,Sharjah,2025-11-03,Referral,Regular
CUST_00139,Raymond Jefferson,Ajman,2025-09-12,App,Regular
CUST_00140,Kylie Williams,Dubai,2025-03-10,Web,VIP
CUST_00141,Andrea Holland,Dubai,2025-10-13,App,VIP
CUST_00142,Samantha Garcia,Sharjah,2025-04-12,App,Regular
CUST_00143,Sandra Zimmerman,Dubai,2025-11-11,Call Center,Premium
CUST_00144,Joseph Santos,Ras Al Khaimah,2025-12-28,Referral,Regular
CUST_00145,Roger Vargas,Sharjah,2025-07-25,Call Center,Regular
CUST_00146,Sandra Miller,Abu Dhabi,2026-01-05,App,Regular
CUST_00147,John Bishop,Dubai,2025-10-19,App,Regular
CUST_00148,Johnny Nguyen,Dubai,2025-09-11,Web,Premium
CUST_00149,Robert Peterson,abu dhabi,2025-09-29,Call Center,VIP
CUST_00150,Kellie Lee,Dubai,2025-09-12,Web,Regular
CUST_00151,Katherine Chang,Dubai,2025-07-30,Call Center,Regular
CUST_00152,Katherine Mcguire,Sharjah,2025-04-17,App,Regular
CUST_00153,Jared Sanchez,Dubai,2025-04-12,Web,Regular
CUST_00154,Joseph Coleman,Dubai,2025-11-08,Web,Regular
CUST_00155,Jesse Parker,Ajman,2025-02-03,Web,Premium
CUST_00156,Corey Wilson,Ajman,2025-05-22,Referral,Regular
CUST_00157,Parker Hill,Dubai,2025-03-14,Referral,Regular
CUST_00158,Dr. Elizabeth Ward,Dubai,2025-08-27,Web,Regular
CUST_00159,Joseph Hill,Abu Dhabi,2025-06-04,App,Regular
CUST_00160,Melissa Martinez,Dubai,2025-01-12,App,Regular
CUST_00161,Adam Mitchell,Abu Dhabi,2025-12-22,Web,Regular
CUST_00162,Cody Williams,Dubai,2025-05-06,App,Premium
CUST_00163,Austin Vasquez,Dubai,2025-06-23,App,Regular
CUST_00164,Robert Avery,Dubai,2025-08-25,App,Premium
CUST_00165,Bailey Duran DDS,Dubai,2025-08-10,Web,Regular
CUST_00166,Jamie Kerr,Sharjah,2025-05-05,Web,Regular
CUST_00167,Wanda Torres,Dubai,2025-02-21,App,Regular
CUST_00168,Natalie Meza,Sharjah,2025-04-27,Web,VIP
CUST_00169,Deborah Miller,Abu Dhabi,2025-03-01,Web,Regular
CUST_00170,Benjamin Smith,Dubai,2025-08-08,Web,Regular
CUST_00171,Julie Johnson,Dubai,2025-01-11,Web,Premium
CUST_00172,Michele Gibson,Sharjah,2025-10-05,Web,Regular
CUST_00173,Rachel Weber,Dubai,2025-05-03,App,Regular
CUST_00174,Joshua Holland,Dubai,2025-08-23,App,Regular
CUST_00175,Andrea Martin,Dubai,2025-01-17,Web,Regular
CUST_00176,Samantha Morse,Sharjah,2025-04-23,Web,Regular
CUST_00177,Michael Lyons,Sharjah,2025-04-25,Web,Regular
CUST_00178,Katherine Miller,Dubai,2025-04-15,App,Regular
CUST_00179,Morgan Munoz,Abu Dhabi,2025-11-15,Referral,Regular
CUST_00180,Vernon Huff,Dubai,2025-06-03,App,Regular
CUST_00181,Miss Debra Williams PhD,Abu Dhabi,2025-12-20,App,Regular
CUST_00182,Jessica Ramirez,Dubai,2025-11-11,Call Center,Regular
CUST_00183,Katherine Davis,Dubai,2025-08-21,Referral,Regular
CUST_00184,Frank Garcia,Dubai,2025-08-12,Referral,Regular
CUST_00185,Michael Roberts,Ras Al Khaimah,2025-04-08,App,Regular
CUST_00186,Krista Gibson,Ajman,2025-12-05,Web,Regular
CUST_00187,Brian Barton,Sharjah,2025-05-17,App,Regular
CUST_00188,Kimberly Gutierrez,AD,2025-08-17,Web,Regular
CUST_00189,Lisa Jimenez,Sharjah,2025-05-26,App,Regular
CUST_00190,Christina Dunn,Dubai,2025-12-26,App,Regular
CUST_00191,Michael Martinez,Dubai,2025-01-14,Web,Regular
CUST_00192,Emily Smith,Dubai,2025-06-21,Call Center,Regular
CUST_00193,Willie Durham,Sharjah,2025-10-04,App,Regular
CUST_00194,Maria Moore,Abu Dhabi,2025-04-08,App,Premium
CUST_00195,Denise Davenport,Sharjah,2025-12-04,Referral,VIP
CUST_00196,Juan Reyes,Dubai,2025-02-08,Referral,Premium
CUST_00197,Desiree Tyler,Dubai,2025-12-19,App,Premium
CUST_00198,Richard Adams,dubai,2025-10-17,Call Center,Regular
CUST_00199,Edwin Matthews,Dubai,2025-03-23,Web,Regular
CUST_00200,Jill Washington,Ajman,2025-04-03,Web,Regular
CUST_00201,Kimberly Gibson,Sharjah,2025-10-19,Web,Regular
CUST_00202,Veronica Allen,Sharjah,2025-05-27,Web,Regular
CUST_00203,Reginald Williams,Dubai,2025-11-09,Referral,Regular
CUST_00204,Roberta Hughes,Dxb,2025-05-18,App,Premium
CUST_00205,Andrew Shaw MD,Sharjah,2025-01-19,Call Center,Regular
CUST_00206,Jessica Fox,Sharjah,2025-06-10,App,Regular
CUST_00207,Charles Pitts,Dubai,2025-10-20,App,Regular
CUST_00208,Richard Baker,Sharjah,2025-05-07,Call Center,Regular
CUST_00209,Sarah Phelps,Abu Dhabi,2025-11-03,Call Center,Regular
CUST_00210,Lori Clay,Dubai,2025-06-10,Web,Regular
CUST_00211,Amanda Jones,Abu Dhabi,2025-06-26,Web,Regular
CUST_00212,Nicole Hamilton MD,SHJ,2025-10-23,Web,Regular
CUST_00213,Michael Berger,Sharjah,2025-09-15,Referral,Regular
CUST_00214,Anthony Howard,Abu Dhabi,2025-11-03,App,Regular
CUST_00215,Joseph Knight,Ajman,2025-04-18,Web,Regular
CUST_00216,Bob Pitts,Dubai,2025-11-16,Web,Regular
CUST_00217,Mr. David Little MD,Ajman,2025-05-17,Referral,Premium
CUST_00218,Julie Roberts,Dubai,2025-04-06,App,Regular
CUST_00219,Tony Huerta,Dubai,2025-10-27,Call Center,VIP
CUST_00220,Jessica Wright,Dubai,2025-04-15,Referral,Premium
CUST_00221,James Webb,Dubai,2025-11-13,App,Regular
CUST_00222,Ian Phillips,Dubai,2025-06-02,App,Premium
CUST_00223,Ronald Foster,Dubai,2025-11-13,App,Regular
CUST_00224,Melissa Garner,Dubai,2025-01-29,Call Center,VIP
CUST_00225,Natasha Wall,ABU DHABI,2025-12-17,Web,Regular
CUST_00226,Crystal Pham,Abu Dhabi,2025-07-02,App,Regular
CUST_00227,Lisa Byrd,Dubai,2025-12-14,App,Premium
CUST_00228,Stephanie Lucas,Dubai,2025-06-07,App,Regular
CUST_00229,Amanda Diaz,Dubai,2025-03-29,Web,Regular
CUST_00230,Edward Burgess,Ajman,2025-03-08,Referral,Regular
CUST_00231,Richard Walter,Abu Dhabi,2025-05-25,App,Regular
CUST_00232,Susan Rivas,Sharjah,2025-11-18,App,Regular
CUST_00233,Terry Coffey,Dubai,2025-10-17,Call Center,Regular
CUST_00234,Gina Wilson,Dubai,2025-06-28,Web,Regular
CUST_00235,Vincent Dalton,Abu Dhabi,2025-08-14,Web,Regular
CUST_00236,Regina Diaz,Dubai,2025-02-28,Referral,Regular
CUST_00237,Joshua Gibson,Dubai,2026-01-05,Web,Premium
CUST_00238,Samantha Bentley,Ras Al Khaimah,2025-10-19,Web,Regular
CUST_00239,Kaitlyn Harvey,Dubai,2025-09-08,App,Regular
CUST_00240,Connie Brown,Abu Dhabi,2025-11-28,App,Premium
CUST_00241,Elizabeth Ortiz,Dubai,2025-04-11,Web,Premium
CUST_00242,Andrew Ferrell,Sharjah,2025-04-02,Web,Premium
CUST_00243,Stephen Taylor,Sharjah,2025-06-18,App,Regular
CUST_00244,Travis Horton,Dubai,2025-01-11,Web,Premium
CUST_00245,Molly Mcclure,Sharjah,2025-04-26,App,Regular
CUST_00246,Lisa Crosby,Abu Dhabi,2025-01-06,Referral,Regular
CUST_00247,Jacob Ramos,Dubai,2025-07-18,Web,Regular
CUST_00248,Ariana Jennings,Abu Dhabi,2025-09-17,Web,Regular
CUST_00249,Donald Donaldson,Dubai,2025-12-12,Call Center,Regular
CUST_00250,Daniel Fowler,Abu Dhabi,2025-03-04,Call Center,Premium
CUST_00251,Gavin Zhang,Abu Dhabi,2025-04-29,Web,Premium
CUST_00252,Phillip Clark,Sharjah,2025-10-12,App,Regular
CUST_00253,Crystal Schroeder,Sharjah,2025-01-08,App,VIP
CUST_00254,William Huerta,Sharjah,2025-10-24,App,VIP
CUST_00255,Ashley Delacruz,DUBAI,2025-12-26,Web,Regular
CUST_00256,Richard Young,Abu Dhabi,2025-03-21,App,Regular
CUST_00257,Derek Martinez,Dubai,2025-11-13,App,Premium
CUST_00258,Nichole Alvarez,Dubai,2025-08-29,Web,Regular
CUST_00259,Ashley Gordon,Ajman,2025-07-13,Web,Regular
CUST_00260,Susan Hopkins,Dubai,2026-01-02,App,Regular
CUST_00261,Victor Brown,Sharjah,2025-02-02,App,Regular
CUST_00262,Jessica Rodriguez,Dubai,2025-04-27,Web,Regular
CUST_00263,Bobby Franklin,Ajman,2025-02-28,Web,VIP
CUST_00264,Marcus Richards,Sharjah,2025-10-20,App,Regular
CUST_00265,Kyle Phillips,Dubai,2025-09-05,App,Regular
CUST_00266,Michael Farrell,ABU DHABI,2025-07-24,Call Center,Regular
CUST_00267,Stephen Gutierrez,Dubai,2025-01-21,Web,Premium
